32,0.0175
-0.0001,0.3500,0.1100
0.2475,0.2475,0.1100
0.3500,0.0001,0.1100
0.2474,-0.2474,0.1100
0.0001,-0.3500,0.1100
-0.2475,-0.2475,0.1100
-0.3500,-0.0001,0.1100
-0.2475,0.2475,0.1100
-0.1339,0.3234,0.0220
0.1339,0.3234,0.0220
0.3234,0.1339,0.0220
0.3234,-0.1339,0.0220
0.1339,-0.3234,0.0220
-0.1339,-0.3234,0.0220
-0.3234,-0.1339,0.0220
-0.3234,0.1339,0.0220
-0.1607,0.3880,0.0220
0.1607,0.3880,0.0220
0.3880,0.1607,0.0220
0.3880,-0.1607,0.0220
0.1607,-0.3880,0.0220
-0.1607,-0.3880,0.0220
-0.3880,-0.1607,0.0220
-0.3880,0.1607,0.0220
-0.1033,0.2494,0.0220
0.1033,0.2494,0.0220
0.2494,0.1033,0.0220
0.2494,-0.1033,0.0220
0.1033,-0.2494,0.0220
-0.1033,-0.2494,0.0220
-0.2494,-0.1033,0.0220
-0.2494,0.1033,0.0220
