36,0.0175
-0.2200,0.2200,0.2000
0.0000,0.2200,0.2000
0.2200,0.2200,0.2000
-0.2200,0.0000,0.2000
0.0000,0.0000,0.2000
0.2200,0.0000,0.2000
-0.2200,-0.2200,0.2000
0.0000,-0.2200,0.2000
0.2200,-0.2200,0.2000
-0.2200,0.2200,0.2000
0.0000,0.2200,0.2000
0.2200,0.2200,0.2000
-0.2200,0.0000,0.2000
0.0000,0.0000,0.2000
0.2200,0.0000,0.2000
-0.2200,-0.2200,0.2000
0.0000,-0.2200,0.2000
0.2200,-0.2200,0.2000
-0.2200,0.2200,0.2000
0.0000,0.2200,0.2000
0.2200,0.2200,0.2000
-0.2200,0.0000,0.2000
0.0000,0.0000,0.2000
0.2200,0.0000,0.2000
-0.2200,-0.2200,0.2000
0.0000,-0.2200,0.2000
0.2200,-0.2200,0.2000
-0.2200,0.2200,0.2000
0.0000,0.2200,0.2000
0.2200,0.2200,0.2000
-0.2200,0.0000,0.2000
0.0000,0.0000,0.2000
0.2200,0.0000,0.2000
-0.2200,-0.2200,0.2000
0.0000,-0.2200,0.2000
0.2200,-0.2200,0.2000
