25,0.0175
0.0041,0.2543,0.0500
0.1054,0.2306,0.0500
0.1893,0.1691,0.0500
0.2422,0.0786,0.0500
0.2538,-0.0256,0.0500
0.2208,-0.1253,0.0500
0.1495,-0.2051,0.0500
0.0544,-0.2493,0.0500
-0.0527,-0.2473,0.0500
-0.1488,-0.2028,0.0500
-0.2175,-0.1220,0.0500
-0.2490,-0.0241,0.0500
-0.2371,0.0790,0.0500
-0.1843,0.1698,0.0500
-0.0985,0.2316,0.0500
0.0255,0.1497,0.0500
0.1153,0.1012,0.0500
0.1525,0.0062,0.0500
0.1208,-0.0915,0.0500
0.0325,-0.1466,0.0500
-0.0693,-0.1327,0.0500
-0.1373,-0.0544,0.0500
-0.1395,0.0473,0.0500
-0.0762,0.1271,0.0500
0.0000,0.0000,0.0900
